TestDate;TestTime;BatchSerialNumber;BatchCustomer;BatchModuleType;BatchProtocolFile;ASCIIFileVersion;
26-09-2018;10:06:29;-;-;-;-;1.04;

CellParamArea [mm²];Tcell [°C];CellParamTkI [%/°C];CellParamTkU [%/°C];Tmonicell [°C];MonicellParamTkI [%/°C];CorrectedToInsol [W/m²];MonicellMvToInsol [W/m²/mV];MonicellSpectralMismatch;CorrectionTyp;IEC60891_RsType;IEC60891_TkI [mA/cm²/K];IEC60891_TkU [mV/K];IEC60891_Kfact [Ohm*cm²/K];IEC60891_FixValRs [Ohm];MeasureTimeLf [ms];ElectronicLoadType;MeasurementType;MonitorcellGainFactor;SectionMeasurementCountLf;IEC60891A_TkI [A/K];IEC60891A_TkU [V/K];IEC60891A_Kfact [Ohm/K];IEC60891A_FixValRs [Ohm];
1940352;24.59;0.07000;-0.30000;23.75;0.04700;1000.00000;19.91474;1.00000;IEC60891A;0;0.000300;-120.00000;0.873000;0.300000;40;EL2;LF;1.00000;1;0.005700;-0.120000;0.00005200;0.300000;

Isc [A];Uoc [V];Impp [A];Umpp [V];Pmpp [W];Eta [%];FF [%];Rser [Ohm];Rshunt [Ohm];Insol [W/m²];
0.08382905;37.21907054;0.05920877;30.61417971;1.81262797;0.09;58.10;-;4510.3;1000.182;

DispUFrom [V];DispUTo [V];DispUScalLines;DispUScalSkip;DispUDecimals;DispIFrom [A];DispITo [A];DispIScalLines;DispIScalSkip;DispIDecimals;MeasTime_raw [ms];MeasTime_cor [ms];
-5.000000;60.000000;13;1.000;1;-1.000000;11.000000;12;1.000;1;40.000;40.000;

Nr;Uraw [[V]];Iraw [[A]];Eraw [[mV]];Uflt [[V]];Iflt [[A]];Eflt [[mV]];Ucor [[V]];Icor [[A]];Ecor [[W/m2]];
137;32.782002163;0.052769902;5035.193149544;32.782386741;0.052690109;5034.290531611;32.732565087;0.054758400;1003.152921411;
138;33.048002309;0.052104959;5033.058580109;33.047040862;0.052065062;5033.009789950;32.997212714;0.054155041;1002.897715691;
139;33.310797633;0.051440016;5031.533887655;33.311566790;0.051360222;5031.533887655;33.261731155;0.053475206;1002.603621480;
140;33.576797779;0.050775072;5030.314133691;33.576092718;0.050522394;5029.972602582;33.526249160;0.052663846;1002.292513555;
141;33.841195514;0.050442601;5027.874625765;33.840362260;0.049471783;5028.411317509;33.790510779;0.051639720;1001.981405630;
142;34.105593249;0.048780242;5026.654871802;34.104375417;0.048088701;5026.996402911;34.054516759;0.050280654;1001.699464073;
143;34.368388574;0.047450356;5025.130179348;34.368003995;0.046359849;5025.764451409;34.318139097;0.048572722;1001.453980476;
144;34.631183898;0.045123054;5024.215363875;34.631312091;0.044232030;5024.800845778;34.581442327;0.046461275;1001.261968553;
145;34.895581633;0.042463281;5023.300548403;34.894299705;0.041691947;5024.154376177;34.844426699;0.043932179;1001.133150428;
146;35.158376958;0.039138564;5023.300548403;35.156774547;0.038739598;5023.825042607;35.106899925;0.040985428;1001.067526100;
147;35.419569872;0.036146319;5022.690671421;35.418736619;0.035428181;5023.788449988;35.368861880;0.037674633;1001.060234508;
148;35.680762786;0.032821603;5023.910425385;35.679993629;0.031677900;5024.008005702;35.630120090;0.033920620;1001.103984060;
149;35.943558111;0.028499471;5024.825240857;35.939904615;0.027475458;5024.386129430;35.890033093;0.029711752;1001.179330510;
150;36.201546204;0.023844868;5024.215363875;36.196226201;0.022874051;5024.910623634;36.146357452;0.025101431;1001.283843329;
151;36.462739118;0.018857793;5026.044994820;36.442356456;0.018086459;5025.654673552;36.392491602;0.020301197;1001.432105700;
152;36.715919979;0.012540832;5025.130179348;36.668296339;0.013378660;5026.471908707;36.618435749;0.015579519;1001.594951254;
153;36.959486378;0.006888813;5026.654871802;36.864431386;0.009136322;5027.533094655;36.814576292;0.011319163;1001.806407422;
154;37.166197334;0.001901739;5029.094379728;37.021724002;0.005678617;5028.838231396;36.971875627;0.007839310;1002.066474203;
155;37.252727502;0.000571852;5030.619072182;37.134149124;0.003218326;5030.265343533;37.084308063;0.005354814;1002.350846291;
156;37.262341965;0.000571852;5030.619072182;37.205103862;0.001662359;5031.619270432;37.155269720;0.003775896;1002.620635195;
157;37.267149197;0.000571852;5033.668457090;37.244202678;0.000837829;5032.887814554;37.194375002;0.002929874;1002.873410384;
